delivery_date,mtu,q0.025,q0.250,q0.500,q0.750,q0.975,y_true
2026-09-17,1,168.94566618223553,192.03390261447285,198.73011814272908,206.1205269538921,231.665815172492,199.33
2026-09-17,2,160.3087916207759,181.1756936069546,187.40881242722364,194.5707481098976,219.59556242940675,186.44
2026-09-17,3,151.2274825135134,170.57321654659154,176.42535362983148,183.294459082708,207.9102533427197,176.97
2026-09-17,4,138.40544384730873,161.14951619224135,167.76294436271615,174.769234607164,198.24207479049124,171.32
2026-09-17,5,151.87838584080998,174.0899189040638,180.4589478087492,187.37704328500564,212.14844500360545,175.44
2026-09-17,6,143.13649515308663,164.95062312150853,171.3776777544301,178.39482613612867,202.2077641512916,170.27
2026-09-17,7,136.62249292804313,159.224541308005,166.054593796346,173.41962238504357,196.13188579126555,166.6
2026-09-17,8,130.86294700629952,153.59044683440308,160.45560486490203,167.77672833894383,190.0627672374388,163.99
2026-09-17,9,136.19498115539886,157.95555875706503,164.5150742239381,171.67622542612904,194.636162853216,166.77
2026-09-17,10,129.48616990710167,152.20329089672012,158.9763395241698,166.13975122554743,188.5654519675596,164.87
2026-09-17,11,126.6051913952604,149.40784003477668,156.12008610722245,163.1321448065458,185.5605943699295,164.94
2026-09-17,12,125.1697930849812,147.63730714298487,154.2800842353676,161.2567985616735,183.5965262983616,165.37
2026-09-17,13,129.52396266004763,151.2818356682897,157.61878819864137,164.3548909926952,187.4322733642844,165.29
2026-09-17,14,124.21259015545282,147.05720166398663,153.7782935851467,160.76582130915514,183.0270068541363,166.03
2026-09-17,15,123.04479162708677,145.98588228134813,152.76611277540616,159.8074401406197,181.88269984730604,165.3
2026-09-17,16,122.18902157604823,145.21131122699913,151.99793005143786,159.01773759213998,181.0584500149116,165.63
2026-09-17,17,125.21478086387737,146.64412417999944,153.0530000554066,159.94177397260316,182.36621820006232,164.56
2026-09-17,18,123.20536967541584,145.77326822570268,152.38637229019568,159.2670996717951,181.5993758880156,165.29
2026-09-17,19,124.26682453290849,146.37069131900105,152.931041674988,159.86574658673487,182.1728735767101,167.42
2026-09-17,20,130.7523307928061,150.79720229279235,156.88005837429344,163.69153913791192,186.64473119497265,165.3
2026-09-17,21,129.42453763879934,149.43839132859512,155.52551249316295,162.3369850135412,185.1713932426609,158.03
2026-09-17,22,132.59241273354132,152.63787789817692,158.817670382795,165.80234675861303,188.63036634101985,159.86
2026-09-17,23,145.4039836474534,163.94711458098098,169.61955564944358,176.35598018858545,200.6289629310956,166.75
2026-09-17,24,156.40061171614627,176.48732330609135,182.4445633449842,189.33822784883128,214.4149959726461,175.4
2026-09-17,25,159.65491486266518,179.3319880255497,185.1319858856286,191.92551357343373,217.42903763590968,172.47
2026-09-17,26,175.1249907619415,194.39138078341423,200.1338097568117,207.12287639108845,233.63794244830083,194.74
2026-09-17,27,180.60267239081625,199.0746007183014,204.6612944816825,211.68141347607465,238.57729286273704,209.2
2026-09-17,28,190.99712210089564,207.7121196849228,212.6270723777275,219.18147037928983,247.65419167277915,219.99
2026-09-17,29,202.193676027438,220.08304704753672,225.40605091130303,232.4132128215418,261.1942209223348,230.2
2026-09-17,30,191.55694343100024,212.4530574139356,218.72121885742592,226.2849875107229,253.39545044057104,221.02
2026-09-17,31,194.0546282873241,212.57018505294965,218.10501606973548,225.1844543308724,253.1685761988004,210.96
2026-09-17,32,173.38711475049195,197.0644678867484,204.43628636613155,212.78119703165729,237.1717598743493,203.59
2026-09-17,33,209.93853676585468,226.0213126590856,231.65768562770663,239.73195628762048,267.3121694227807,215.92
2026-09-17,34,191.66087528267337,212.42178856709484,218.6552664062215,226.20205335001023,253.34134712714425,204.59
2026-09-17,35,170.2126782748876,194.0953575443899,200.79749588556933,207.99774328978623,234.01958641521688,195.46
2026-09-17,36,132.81411273015942,164.03803892374268,172.59403353367384,180.30975565138075,202.64560092831096,177.83
2026-09-17,37,203.5129987157539,215.82633050808943,219.5659934409428,225.59861860085024,255.76211500206088,200.0
2026-09-17,38,147.6206532643464,170.45597685423016,177.02465937881163,184.0405693732045,208.31417420914983,178.9
2026-09-17,39,117.57811193320474,141.7565514028831,148.82475011653025,155.9239254770633,177.49969587884593,150.24
2026-09-17,40,88.13411839432224,115.17627650393328,122.56963347061487,129.07528197551912,149.22324504635887,124.42
2026-09-17,41,113.1211265058367,137.55603121534992,144.66399197997032,151.70609960603076,173.0003101341318,145.92
2026-09-17,42,80.338658226029,108.5364851816605,116.65216447358505,123.89443920468354,142.20747240815408,125.69
2026-09-17,43,60.0195216422353,87.7259522936473,95.27346217557869,101.52375119668577,119.66244138873272,99.3
2026-09-17,44,28.37003107556565,57.50575016299726,65.2454200679363,71.05408870122555,87.22915242110231,74.45
2026-09-17,45,46.403774135408085,73.25467197908692,80.58086620151644,86.55883734730833,103.89714296663917,69.57
2026-09-17,46,17.05562972675144,45.02175693192383,52.19526205669168,57.29983812538179,73.57323194671964,43.17
2026-09-17,47,-7.448103748055772,22.30070500496321,29.77183823930098,34.586644078199114,49.29566483172127,19.12
2026-09-17,48,-31.46595285611712,1.4223375916132197,9.926319894493153,15.248097782362215,27.19955838807566,7.2
2026-09-17,49,-18.113867917068003,9.92181227555452,17.14112239134346,21.899952163570955,35.655793423647815,17.53
2026-09-17,50,-34.56525799737591,-4.339054178094051,3.92364706142088,9.547336717394224,20.558702659136983,10.1
2026-09-17,51,-40.204549286921534,-9.1721749109973,-0.625926095028627,5.162767558931294,15.454780757598863,7.62
2026-09-17,52,-46.9181358374768,-13.76791909337021,-4.616946780390927,1.476666825139014,10.804987971831324,7.43
2026-09-17,53,-43.0485641716172,-10.728495689136176,-1.9125871434448376,3.9213635438774017,13.96872781169351,5.0
2026-09-17,54,-46.48841149794894,-13.681255122653775,-4.695973470206551,1.2342414670197566,10.849793554758566,2.12
2026-09-17,55,-48.93896383686046,-15.435753184370304,-6.2017458344888095,-0.0954748809697756,9.056131063118864,0.42
2026-09-17,56,-56.8500112046968,-20.83207897675515,-10.807985441107013,-4.225651801325941,3.597998097861158,0.1
2026-09-17,57,-48.951405469324726,-15.673049394222694,-6.446632283150632,-0.2919133577803312,8.764186184163089,3.97
2026-09-17,58,-40.4996794630972,-9.795139825019795,-1.2733568751184166,4.561753628448226,14.7302976743768,6.04
2026-09-17,59,-35.37894383335798,-6.378184760057356,1.6856922917621762,7.317284316396954,18.16716316654485,13.69
2026-09-17,60,-29.10441020859036,-1.7212479240203695,6.080200276112246,11.805641433944608,22.95077750672004,25.2
2026-09-17,61,-35.61548841535981,-5.099888087870353,3.4360414661707908,9.399685518738668,19.773130563429497,10.0
2026-09-17,62,-26.26152132210295,3.321567801061408,11.511618037247636,17.28837383388339,28.73645398280457,23.24
2026-09-17,63,-14.95432729136316,10.92901742382365,18.395593219910136,24.15859363688792,36.392789467876895,42.54
2026-09-17,64,7.390938731486813,29.19051985760256,35.72331436380944,41.37038159043059,55.50745879580479,49.01
2026-09-17,65,-9.643882450129496,17.46847836018219,24.60937916491583,29.589531794153206,43.66599720446084,27.41
2026-09-17,66,25.625919849801704,52.14272193214478,58.94854321556991,63.96216139039844,81.04979554063556,51.65
2026-09-17,67,60.13889251454869,85.54421416104289,93.3190987421724,100.5478218757239,116.93066132999829,101.03
2026-09-17,68,94.54410760883624,116.7241711919364,123.711832132476,130.96089553929826,150.13582101528658,117.35
2026-09-17,69,58.30882263174354,90.624828100364,100.00037851776142,107.86582352612912,123.46492105389736,97.67
2026-09-17,70,94.6714908385176,124.8206653161826,133.63910013697634,141.62412852749358,160.08935288495934,135.5
2026-09-17,71,129.65646670907472,159.13524142996093,167.20308606550074,174.58491820780498,197.0871050190001,163.74
2026-09-17,72,155.68192779925658,185.1087788583494,193.36772630716465,201.3594440875583,225.1376269524349,208.99
2026-09-17,73,132.48225463112516,162.60866011501,170.4846325276168,177.42238987892327,200.9500897088625,181.97
2026-09-17,74,151.44806047040305,182.01581975924373,190.3004379308285,197.97737323248265,221.97632010987004,197.33
2026-09-17,75,177.4003553987465,202.0820885392428,209.061152766444,216.56345339121265,242.7671322949033,205.66
2026-09-17,76,191.21787568921195,209.45585268631308,215.12124862954195,222.4485908040677,249.75465912014343,208.99
2026-09-17,77,191.6628305054072,208.49080446047097,213.40606181077624,219.93808098945087,248.5135697819404,210.17
2026-09-17,78,191.4573770989957,208.01945395729848,213.2092802421108,220.2424267855684,247.95233479144008,211.58
2026-09-17,79,192.871857702687,214.499674320992,220.8745469220097,228.42412134000065,255.71968051603776,213.42
2026-09-17,80,204.15662668384127,229.15706066426384,236.0084642922397,243.52777753451645,272.0779384131227,232.7
2026-09-17,81,190.33638661352472,214.68911907321475,221.64167780797248,229.33763640171136,256.3380814447526,216.09
2026-09-17,82,193.76572419045223,214.1409819138456,220.2113633032649,227.6293060836805,255.14329428245264,215.16
2026-09-17,83,197.2932800636908,213.5706057605239,218.84694238244964,226.1590373733078,253.90222091423905,216.64
2026-09-17,84,182.35150911718864,203.5520962854001,210.3016681997884,218.43625421511533,243.80927367609635,214.98
2026-09-17,85,197.55193778912133,214.7035757853584,219.9828139325299,227.06705336710328,255.26554896324905,219.05
2026-09-17,86,186.7728819846757,204.21791673217257,209.695270474644,216.8898450967732,243.97516796398293,210.72
2026-09-17,87,179.50076611577146,198.37321161416355,204.1693213626064,211.3985226177793,237.87587375637324,204.19
2026-09-17,88,164.0764845777141,185.70133372260327,192.11254897088853,199.39334289083428,224.60016427735303,188.96
2026-09-17,89,181.5806215566569,198.5832417441927,204.1065473029473,211.4335772809799,237.8146270478233,199.0
2026-09-17,90,167.92238592463275,188.1646630753568,194.39353808329025,201.803332401312,227.04812187871545,191.64
2026-09-17,91,160.97568369502693,183.10586161673697,189.6853212058957,197.05954085544093,221.87023721409625,194.99
2026-09-17,92,151.4404661704562,174.83333123563708,181.6355891829662,188.91216116817105,213.1247016647668,187.88
2026-09-17,93,157.90583959024514,179.5860752346142,186.03814766624663,193.2982793639796,217.9997718591438,186.23
2026-09-17,94,150.6997388082197,172.22485196351565,178.6695954155641,185.8781877152973,210.0212285771813,184.76
2026-09-17,95,146.21024992487884,168.51517893648142,175.17590099062895,182.4633561999497,206.1294000694144,179.29
2026-09-17,96,136.43887052279462,157.9810550128352,164.4669140757207,171.5737639556948,194.63151104890505,167.18
2026-09-18,1,129.84268719708757,153.91577562889205,160.70218473485775,167.51694985915375,190.2374545246344,148.62
2026-09-18,2,122.47250820494662,145.67081272702842,152.31219977196562,159.0196489445052,181.30687418281224,142.08
2026-09-18,3,116.27571926075116,139.70947554542758,146.4790353941726,153.2331737224234,174.93752678992848,134.81
2026-09-18,4,108.72843420382624,133.04975902019223,140.00748905383958,146.72258833776365,167.87602113659463,131.43
2026-09-18,5,117.76625812431529,141.59431903488664,148.35035484841777,155.01132974263135,176.99141844052417,135.96
2026-09-18,6,111.61613531052492,135.3649822225236,142.15899263103822,148.8094687801793,170.30222055256309,130.24
2026-09-18,7,107.62385756606572,132.3446374239235,139.31363905630164,145.9348698947593,167.15251014824,127.5
2026-09-18,8,104.81737199106372,129.10992843099734,136.09804126652682,142.81049431616233,163.64754797597496,128.07
2026-09-18,9,108.6645813859066,132.29449595229764,139.17912462610062,145.95041046571367,167.00390988485384,126.68
2026-09-18,10,104.32293544163028,128.82737881924933,135.8710215768431,142.60789817299673,163.3656156188064,125.54
2026-09-18,11,103.32584551869252,127.9218585873061,135.0042361162403,141.76250051160252,162.4040758488839,132.78
2026-09-18,12,101.09229343301772,126.24365358209178,133.4074804788509,140.12240355652546,160.65406390825348,133.02
2026-09-18,13,102.86370801581842,127.69163074053046,134.73307565314553,141.3694342624196,162.1727741178826,128.71
2026-09-18,14,102.90980521329608,127.40693205480407,134.41303411343634,141.0767946416377,161.83775741481344,129.52
2026-09-18,15,102.52105818916073,127.1135917190858,134.12520098879767,140.76895389281646,161.53108363800047,129.9
2026-09-18,16,102.19785574019102,126.90602123441806,134.0008329356544,140.73504897422276,161.3238606548836,132.57
2026-09-18,17,102.12456997212315,126.87492894207767,133.98643522779255,140.7341620383935,161.29515265331636,128.05
2026-09-18,18,103.56756925280504,128.47541912187677,135.55434035531457,142.23659097117408,163.02323236148888,131.76
2026-09-18,19,105.34858163351475,130.33195062293518,137.42703566406354,144.13978759459548,165.02306597629916,130.27
2026-09-18,20,108.89167687600224,132.82858150773689,139.64139955471964,146.2369950093822,167.5967063275639,134.34
2026-09-18,21,104.2950606659986,129.9125300721897,137.22941228055703,144.1030394495741,164.64082575635038,138.82
2026-09-18,22,110.41275763268266,134.78671725778358,141.75853598816266,148.50519197077483,169.7455127070887,138.32
2026-09-18,23,117.66657032709604,142.53930049933277,149.51364044033866,156.24577889825423,178.1065737981592,148.74
2026-09-18,24,129.1331611991084,154.6325011643285,161.69881848717506,168.57609270712825,191.14317025060544,160.69
2026-09-18,25,131.0849190961051,155.4901060278731,162.45349281615748,169.4669169878914,191.9671590301355,173.0
2026-09-18,26,149.9501291725068,174.41415705920463,181.3698312778492,188.6194519409508,212.28144059930307,181.67
2026-09-18,27,159.71059414403626,183.56182166355936,190.41776138851284,197.80185034422297,222.0419689574176,187.86
2026-09-18,28,187.431787778018,203.3468017719243,207.80095488302013,213.9239370869861,242.45395035754456,201.49
2026-09-18,29,185.2762108889639,205.3659600235027,211.15018130053943,218.2069552173492,245.0583776428737,207.0
2026-09-18,30,189.7727196076827,208.7705174095043,214.2026203360226,221.0634593963468,248.5975744414464,217.56
2026-09-18,31,186.2111101338239,204.89527974699328,210.2311857725762,216.97573005554565,244.4059259373752,213.62
2026-09-18,32,165.157229987137,192.6348673615481,200.42250753946664,208.38994020047068,232.14289871419825,207.24
2026-09-18,33,199.82593688823687,216.16310140797148,220.6863555575692,226.98235715646217,256.24831763685114,221.78
2026-09-18,34,182.6585868994327,203.1294605954893,208.5298168569589,214.89440737184208,242.660559312872,207.62
2026-09-18,35,166.8910986821571,190.976059921654,197.46568453921648,204.35438464036469,229.9910615479525,203.33
2026-09-18,36,130.0215040587082,165.68302431639438,174.95498039481478,182.6710644433913,203.9912544147504,187.27
2026-09-18,37,188.12833376785304,204.6418800042636,208.66146500799928,214.0117871017644,243.86025521341384,204.35
2026-09-18,38,145.99239942432988,168.7429352412852,175.28397766985947,182.27646207666763,206.0250577997381,181.26
2026-09-18,39,119.37599597049184,144.2731929290263,151.17475174300696,157.81761841058938,179.96405148266493,150.0
2026-09-18,40,92.53145881391907,120.02762725095432,127.06368592063758,132.91330342299162,154.1636012512733,114.83
2026-09-18,41,123.288823585686,146.45339386216094,152.94388297654075,159.44854029578136,182.1328527148712,135.33
2026-09-18,42,92.19268580734553,119.2174247981672,126.82067426414768,133.612878799064,153.29782872809565,110.0
2026-09-18,43,74.20398515243573,100.80182845171603,107.98779723789856,114.01796945955276,133.46787689173908,83.5
2026-09-18,44,42.15552464886171,69.9448936675012,77.33293190055191,82.93241806682457,100.46261050291132,55.06
2026-09-18,45,61.14682330554559,87.69013822336225,94.9105777089082,100.82344692091988,119.39399526290576,70.83
2026-09-18,46,32.79062912120028,60.936863111976336,68.16359390894078,73.31076370452318,90.81182729827196,48.15
2026-09-18,47,8.837115061385312,38.29273472942789,45.53265148669265,50.05523234871904,66.61645421948703,36.32
2026-09-18,48,-12.961809647325964,16.278430142281994,23.874478012957407,28.670399233802808,42.99869891408672,14.31
2026-09-18,49,-0.2938211865589579,27.905440362199645,34.95507500570552,39.370185140433925,55.35231247038313,14.62
2026-09-18,50,-21.17027719937972,9.752729090055627,17.905801721058875,23.007118184210825,36.17289574440875,5.82
2026-09-18,51,-29.444281108513085,2.254131443066907,10.764467871512066,16.092317683251697,28.21449558431092,3.52
2026-09-18,52,-38.04454438220683,-5.158263244604251,3.866524352711602,9.549542981088688,20.39373547875479,1.08
2026-09-18,53,-33.89197734193533,-2.203244446232373,6.435992283687584,11.894241778200769,23.439421117428125,0.5
2026-09-18,54,-39.5061418119494,-7.010226908591666,1.911427350878888,7.515334740393515,18.36680663765132,0.04
2026-09-18,55,-43.81409190790354,-10.837343403373309,-1.6557688388961005,4.1565212998197865,14.31767163840014,0.01
2026-09-18,56,-53.19357103654097,-17.98344897647812,-7.98314835560382,-1.6275841785733358,6.890104705383767,0.0
2026-09-18,57,-45.79429299523119,-12.558411679402848,-3.198211630885727,2.787864210999,12.504817665439424,0.0
2026-09-18,58,-37.12246418652151,-6.77056769249188,1.665798134245542,7.099023236454006,18.414049665932165,0.0
2026-09-18,59,-35.379006552672976,-4.626791661837296,3.590022653492209,8.628854020810158,20.73105901039424,0.0
2026-09-18,60,-28.74621106605676,0.2007192300492128,8.226846440299955,13.50692490319796,25.75149769546512,0.01
2026-09-18,61,-29.62609068794226,-1.2728659874557593,6.823891508701543,12.337165244586132,24.12703406946297,0.07
2026-09-18,62,-20.89569055551457,8.01703399739894,16.057057131228714,21.474587530405003,34.13854499956064,1.94
2026-09-18,63,-13.286559388145127,17.548108175754674,26.11966756068708,31.967411109895696,44.56306255898274,4.15
2026-09-18,64,2.200751079202085,30.38172430553069,38.24102839619973,43.8870416339272,58.06847903874294,5.97
2026-09-18,65,-15.31999092448579,12.036089557350577,19.18758872544654,23.7451606527624,38.25978258376418,3.88
2026-09-18,66,15.115638209245104,39.77762521075438,46.12880140733557,50.571874789829046,67.75519255188718,9.28
2026-09-18,67,44.81523243035249,71.09009329822214,78.59681911145755,84.7686526698239,101.57756504589136,48.23
2026-09-18,68,72.11119510790843,97.29435741954956,104.11976685109008,109.92708880885344,129.56197963607417,61.63
2026-09-18,69,41.01836550435922,71.81416979838278,80.35143185411802,86.91087883892939,102.79795822342754,30.0
2026-09-18,70,77.35459749868099,103.8929634093288,111.62135944959174,118.5079194799602,136.82078041143873,67.3
2026-09-18,71,108.54431130603884,133.2491729880933,140.13045918745104,146.63911289578186,168.11550328007573,129.39
2026-09-18,72,146.89752689252464,168.2927966343082,174.39433847858075,181.0751727642226,205.3993888806127,164.97
2026-09-18,73,115.64510321760062,139.56568925673562,146.6589056316304,153.7648143524531,174.84670453840263,149.46
